Despacho,OV,NombreProducto,FechaCorte,Parte,Descripción,Despacho Cantidad en Unidades,Despacho Unidad de Medida Unidades,Proyecto,Precio Unitario,V. VTA,Guia de Remisión,Fecha Despacho,Comentario por Linea,Tipo Embarque,NombreArchivo,Cuentas,Paquetes,Courier,OT
91190,368779,INSUMOS,,120404403000005,SOBRE CLARO JUNIO 2013 - 23 X 15.5 CM,200,UND,C000000048,0.08265,16.53,012-0011438,02/12/2019,SON 1 CAJA X 200 UND.,1,,,,,
91190,368779,INSUMOS,,120404401000005,PREFORMA CLARO A5 CUADERNILLO 2013 F CONTINUO,"2,000.00",UND,C000000048,0.02052,41.04,012-0011438,02/12/2019,"SON 1 CAJA X 2,000 UND.",1,,,,,
91362,368913,RECIBO AUTOSOBRE A5 MOVIL - NUEVO RECIBO,28/11/2019,60404430000029,RECIBO AUTOSOBRE A5 MOVIL - NUEVO RECIBO,"1,718.00",UND,C000000048,0,0,005-0744608,03/12/2019,"Descripción - RE: ND TP02 Prorrateo Noviembre al 28.11_1718
 Comentarios - 1 : ARCHIVO_IMPRESION_AUTO.PDF - 1718
 PAQ - 01
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 0
 FechaCorte - 28/11/2019",5,1 : ARCHIVO_IMPRESION_AUTO.PDF - 1718,1718,1,URBANO EXPRESS PERU SA,238083
91362,368913,RECIBO AUTOSOBRE A5 MOVIL - NUEVO RECIBO,28/11/2019,120404401000005,PREFORMA CLARO A5 CUADERNILLO 2013 F CONTINUO,"1,718.00",UND,C000000048,0.02052,35.25336,005-0744608,03/12/2019,"Descripción - RE: ND TP02 Prorrateo Noviembre al 28.11_1718
 Comentarios - 1 : ARCHIVO_IMPRESION_AUTO.PDF - 1718
 PAQ - 01
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 0
 FechaCorte - 28/11/2019",5,1 : ARCHIVO_IMPRESION_AUTO.PDF - 1718,1718,1,URBANO EXPRESS PERU SA,238083
91362,368913,RECIBO AUTOSOBRE A5 MOVIL - NUEVO RECIBO,28/11/2019,120404406000003,SERV. IMPRESION VARIABLE A5,"1,718.00",UND,C000000048,0.0175,30.065,005-0744608,03/12/2019,"Descripción - RE: ND TP02 Prorrateo Noviembre al 28.11_1718
 Comentarios - 1 : ARCHIVO_IMPRESION_AUTO.PDF - 1718
 PAQ - 01
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 0
 FechaCorte - 28/11/2019",5,1 : ARCHIVO_IMPRESION_AUTO.PDF - 1718,1718,1,URBANO EXPRESS PERU SA,238083
91362,368913,RECIBO AUTOSOBRE A5 MOVIL - NUEVO RECIBO,28/11/2019,120404407000001,SERV. AUTOENSOBRADO,"1,718.00",UND,C000000048,0.04875,83.7525,005-0744608,03/12/2019,"Descripción - RE: ND TP02 Prorrateo Noviembre al 28.11_1718
 Comentarios - 1 : ARCHIVO_IMPRESION_AUTO.PDF - 1718
 PAQ - 01
 Courier - URBANO EXPRESS PERU SA
 IdAutomata - 0
 FechaCorte - 28/11/2019",5,1 : ARCHIVO_IMPRESION_AUTO.PDF - 1718,1718,1,URBANO EXPRESS PERU SA,238083
92016,369678,RECIBO ENSOBRADO A5 MOVIL,12/11/2019,60404430000003,RECIBO ENSOBRADO A5 MOVIL,168,UND,C000000048,0,0,005-0745113,04/12/2019,"Descripción - Indicaciones Pendientes Ciclo 12.11.2019_170 MGM
 Comentarios - 1 : NR_C1112_MGM_LIMA_AFP_RESTANTES_TOTAL_125.afp - 125
  2 : NR_C1112_MGM_PROV_AFP_RESTANTES_TOTAL_43.afp - 43
 PAQ - 02
 Courier - COURIER S.MARTIN DE PORRES S.A
 IdAutomata - 0
 FechaCorte - 12/11/2019",5,1 : NR_C1112_MGM_LIMA_AFP_RESTANTES_TOTAL_125.afp - 125 / 2 : NR_C1112_MGM_PROV_AFP_RESTANTES_TOTAL_43.afp - 43,168,2,COURIER S.MARTIN DE PORRES S.A,239663
92016,369678,RECIBO ENSOBRADO A5 MOVIL,12/11/2019,120404402000011,PREFORMA CLARO A5 CUADERNILLO 2013 F PLANO,854,UND,C000000048,0.0247,21.0938,005-0745113,04/12/2019,"Descripción - Indicaciones Pendientes Ciclo 12.11.2019_170 MGM
 Comentarios - 1 : NR_C1112_MGM_LIMA_AFP_RESTANTES_TOTAL_125.afp - 125
  2 : NR_C1112_MGM_PROV_AFP_RESTANTES_TOTAL_43.afp - 43
 PAQ - 02
 Courier - COURIER S.MARTIN DE PORRES S.A
 IdAutomata - 0
 FechaCorte - 12/11/2019",5,1 : NR_C1112_MGM_LIMA_AFP_RESTANTES_TOTAL_125.afp - 125 / 2 : NR_C1112_MGM_PROV_AFP_RESTANTES_TOTAL_43.afp - 43,168,2,COURIER S.MARTIN DE PORRES S.A,239663
92016,369678,RECIBO ENSOBRADO A5 MOVIL,12/11/2019,120404403000005,SOBRE CLARO JUNIO 2013 - 23 X 15.5 CM,168,UND,C000000048,0.08265,13.8852,005-0745113,04/12/2019,"Descripción - Indicaciones Pendientes Ciclo 12.11.2019_170 MGM
 Comentarios - 1 : NR_C1112_MGM_LIMA_AFP_RESTANTES_TOTAL_125.afp - 125
  2 : NR_C1112_MGM_PROV_AFP_RESTANTES_TOTAL_43.afp - 43
 PAQ - 02
 Courier - COURIER S.MARTIN DE PORRES S.A
 IdAutomata - 0
 FechaCorte - 12/11/2019",5,1 : NR_C1112_MGM_LIMA_AFP_RESTANTES_TOTAL_125.afp - 125 / 2 : NR_C1112_MGM_PROV_AFP_RESTANTES_TOTAL_43.afp - 43,168,2,COURIER S.MARTIN DE PORRES S.A,239663
92016,369678,RECIBO ENSOBRADO A5 MOVIL,12/11/2019,120404406000003,SERV. IMPRESION VARIABLE A5,"1,708.00",UND,C000000048,0.0175,29.89,005-0745113,04/12/2019,"Descripción - Indicaciones Pendientes Ciclo 12.11.2019_170 MGM
 Comentarios - 1 : NR_C1112_MGM_LIMA_AFP_RESTANTES_TOTAL_125.afp - 125
  2 : NR_C1112_MGM_PROV_AFP_RESTANTES_TOTAL_43.afp - 43
 PAQ - 02
 Courier - COURIER S.MARTIN DE PORRES S.A
 IdAutomata - 0
 FechaCorte - 12/11/2019",5,1 : NR_C1112_MGM_LIMA_AFP_RESTANTES_TOTAL_125.afp - 125 / 2 : NR_C1112_MGM_PROV_AFP_RESTANTES_TOTAL_43.afp - 43,168,2,COURIER S.MARTIN DE PORRES S.A,239663
